,Tweet,Avg,totalwords,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,Sentiment
0,say far best customer care service ever received appstore,2.0,19,19,101,4.368421052631579,6,0,0,2,Positive
1,ios 7 fricking smooth beautiful thanxapple,2.0,10,10,60,5.1,2,1,1,0,Positive
2,love u,1.8,3,3,13,3.6666666666666665,0,0,0,3,Positive
3,thank loving new iphone 5s iphone5s pictwittercomxmhjcu4pcb,1.8,11,12,91,7.2727272727272725,2,2,0,1,Positive
4,best customer service new phone 10min,1.8,16,16,82,4.1875,8,0,0,0,Positive
5,ear pods amazing best sound inear headphones ive ever,1.8,13,13,77,5.0,2,0,0,1,Positive
6,omg iphone 5s cool read finger print unlock iphone 5s make purchases without passcode,1.8,27,27,138,4.148148148148148,11,1,0,2,Positive
7,iphone 5c beautiful 3,1.6,8,8,39,4.0,3,0,0,0,Positive
8,attributeownership exactly always one marketing marketer business innovation fb,1.6,15,15,116,6.8,4,8,0,0,Positive
9,checked specs new ios 7wow say cant wait new update bravo,1.6,27,27,122,3.5555555555555554,10,0,0,2,Positive
10,love new ios much thnx phillydvibing,1.6,10,10,58,4.9,2,0,0,1,Positive
11,cant wait iphone5s,1.6,7,7,40,4.857142857142857,2,1,0,0,Positive
12,v2vista fingerprint scanner killer feature iphone 5s bloody brilliant timesnow httptoiinw0o3z,1.6,17,17,129,6.647058823529412,3,0,0,1,Positive
13,interesting many people seem almost willing demise whats going still far favorite brand fantastic,1.6,24,26,140,4.791666666666667,8,1,0,0,Positive
14,love bnbuzz nookstudy nookbn made life much easier morning,1.6,16,16,87,4.5,4,0,0,2,Positive
15,watched keynote latest iphones love iphone5s iphone5c guess christmas gift already,1.6,24,24,139,4.833333333333333,8,2,0,2,Positive
16,iphone wasnt calling correctly went store first time told gave brand new phone wow,1.4,25,25,127,4.12,9,1,0,1,Positive
17,great job providing best users experience thinkauto,1.4,9,9,62,6.0,1,1,0,0,Positive
18,swapped galaxys2 iphone4s one day id say im convert,1.4,15,15,83,4.6,4,2,0,0,Positive
19,cant wait orange phone upgrade november iphone 5s come orangehelpers,1.4,19,19,110,4.842105263157895,4,2,0,1,Positive
20,colored iphone new 5c iphone comes colors love cant wait till one iphone5c,1.4,22,22,121,4.545454545454546,3,4,0,2,Positive
21,whether youre fan iphone 5c video worth watching lots reasons httpbitly18ybjlq lovegreatdesign,1.4,20,21,136,5.8,7,1,0,1,Positive
22,impressive features iphone 5s fingerprint recognition thats impressive,1.4,14,14,97,6.0,3,0,0,0,Positive
23,kuqogroup jimmykimmel blackberry unbelievably awesome clickitandlickit,1.4,9,9,94,9.555555555555555,2,1,0,0,Positive
24,earpods amazing thanks,1.4,5,5,34,6.0,1,0,0,0,Positive
25,luv iphone 5s luv champagne colour fingerprint reader,1.2,15,15,84,4.666666666666667,5,0,0,0,Positive
26,used tv explainevrythng demonstrate student understanding factors awesome,1.2,12,13,94,6.833333333333333,3,0,0,1,Positive
27,brody_knibbs haha mint arent top company,1.2,8,8,54,5.875,0,0,0,0,Positive
28,im back yaw thanks,1.2,7,7,36,4.285714285714286,1,0,0,0,Positive
29,found new way work today courtesy iphone way go maps first time anyones said,1.2,24,24,119,4.0,7,0,0,0,Positive
30,dear love new default alarm ringtone goodmorning,1.2,9,9,62,6.0,1,1,0,0,Positive
31,never noticed good iphone 5 camera pug pictwittercom0z6zd8fymk,1.2,13,13,87,5.769230769230769,3,1,1,1,Positive
32,found added watchespn app appletv may never leave house sec,1.2,19,19,103,4.473684210526316,5,2,0,2,Positive
33,products best pictwittercomx5zy21xfi3,1.2,6,6,56,8.5,2,0,0,0,Positive
34,drawing mac soooo cool pictwittercomw9ckpcey0r,1.2,9,9,65,6.333333333333333,3,0,0,0,Positive
35,thinking getting android phone saw iphone5s pulled back iphone5s,1.2,22,22,121,4.545454545454546,7,1,0,2,Positive
36,jasonreiner extensive research new innovative product created trendsetters,1.0,14,14,103,6.428571428571429,4,1,0,0,Positive
37,dropped phone two flights wooden stairs damage thanks,1.0,16,16,85,4.375,5,0,0,1,Positive
38,thanks help,1.0,5,5,27,4.6,2,0,0,0,Positive
39,traceyliddle went storean hour away brilliant thanks new functioning ipad,1.0,21,22,130,5.190476190476191,5,0,0,2,Positive
40,love makes easy transfer macs continue work pictwittercomlga2kaxa4b,1.0,17,17,109,5.470588235294118,6,0,0,2,Positive
41,time nokia_uk mentioned sentence tl nokia thanking,1.0,22,22,116,4.318181818181818,11,0,0,1,Positive
42,hopefully new iphone 5c christmas iphone5c,1.0,12,12,69,4.833333333333333,3,1,0,2,Positive
43,mfayax thank,1.0,7,7,39,4.714285714285714,3,0,0,0,Positive
44,stunning picturesvideos world instagram profile httpinstagramcomappsolution pictwittercomqqdzqe8s4f,1.0,15,16,145,8.666666666666666,6,1,0,0,Positive
45,suddenly faith restored cant wait iphone 5c httpowly22fbs4,1.0,16,16,100,5.3125,6,0,0,0,Positive
46,totally missed giving away iphoto imovie iwork free charge new ipad owners awesome move,1.0,20,20,117,4.9,5,0,0,0,Positive
47,new iphone5s seems pretty cool fingerprintsrecognitom iphone,1.0,12,13,90,6.5,0,4,0,0,Positive
48,wow huge thanks 24 hour review cycle concepts 20 live stacks snapto improved shapes pictwittercom4vkivk0s0y,1.0,20,20,144,6.25,3,1,1,0,Positive
49,wow amount macbooks starbucks would say well,1.0,18,18,91,4.111111111111111,10,0,0,0,Positive
50,ibrooklynb 5s gold,1.0,4,4,28,6.25,0,0,0,0,Positive
51,windows ipad ftw,1.0,4,4,24,5.25,0,0,0,0,Positive
52,open passbook screen gets brighter automatically makes scanning code flawless thats ill stick,1.0,22,22,135,5.181818181818182,5,0,0,0,Positive
53,ios7everybody ready experience operating system kills jail break absolutely incredible appletweets applenws,1.0,18,18,139,6.777777777777778,4,1,0,0,Positive
54,done againthe 5s gonna freaking sick,1.0,11,11,60,4.545454545454546,4,1,0,0,Positive
55,lafond66 mallow610 recent convert may continue next upgradebrand nothing usability key,1.0,22,22,133,5.090909090909091,9,0,0,0,Positive
56,reason 2001 comes new macbook pro im getting instead pc hatewindows upgrade stupidmicrosoft,1.0,22,22,137,5.2727272727272725,8,4,0,0,Positive
57,ios 7 finally introduces ringtones alarms dont suck hard thank,1.0,18,18,101,4.666666666666667,6,0,1,0,Positive
58,straight legit sent phone wednesday repaired got new replacement phone back friday morning im back,1.0,22,22,129,4.909090909090909,5,0,0,0,Positive
59,phone complete iradio thank pictwittercomgqg5xusyf7,1.0,11,11,81,6.454545454545454,3,1,0,0,Positive
60,hyperbole aside article well simply amazing arent via fastcodesign httpowlyovszn,1.0,17,17,120,6.117647058823529,5,0,0,0,Positive
61,okay phone companies stop palling around least let creep cant anyone else together,0.8,20,20,116,4.85,4,0,0,0,Positive
62,rt jill_martin77 music ears iphone 5c beautifully unapologetically plastic see httpbitly17pdiv1,0.8,17,17,135,7.0,4,1,0,1,Positive
63,ibrooklynb loved iphonec better cuz name awesome haha x,0.8,12,12,69,4.833333333333333,1,0,0,1,Positive
64,fell like working im older love technology lot wanna make products help design make,0.8,28,28,139,4.0,2,2,0,4,Positive
65,drumroll please joining samsung w big news new content wk us lrwblog redesignhttpowlyonazd happydance,0.8,20,21,137,5.85,1,2,0,1,Positive
66,would love blog new iphone5s wants send one,0.8,16,16,80,4.0625,7,2,0,0,Positive
67,7 years finally new macbook pro battery go pictwittercomxwqjedhsvt,0.8,16,17,100,5.25,3,0,1,1,Positive
68,iphone would guys choose iphone 5s whitesilver iphone 5c green,0.8,17,17,94,4.588235294117647,4,0,0,0,Positive
69,registry gifts im thinking fake getting married birthday registering things,0.8,20,20,129,5.5,7,2,0,0,Positive
70,thanks itunesfestival httptwitpiccomdd6xjw,0.8,6,7,64,9.666666666666666,2,1,0,0,Positive
71,good help thanks pictwittercomlbu9diufrf,0.8,7,7,56,7.142857142857143,1,0,0,0,Positive
72,know going sound simple ios7 without entering password flashlight genius simple wow,0.8,22,22,128,4.863636363636363,8,4,0,1,Positive
73,leaps ahead mobile identity management still stuck mdm anyone mim future,0.8,19,19,112,4.947368421052632,6,0,0,2,Positive
74,microsoft windows done every laptop 6monthlifespan come,0.8,17,17,101,5.0,5,1,0,1,Positive
75,hands 8 days iphone5s iphone ios september20th pictwittercomxwr5hvnjyc,0.8,17,20,122,6.0588235294117645,6,5,1,1,Positive
76,tvmattscott big believer store,0.8,10,10,52,4.3,4,0,0,1,Positive
77,im glad skipping megapixel war better light sensitivity itll outdo entry level slrs,0.8,21,21,122,4.857142857142857,6,0,0,0,Positive
78,fireandice5935 johan_barnard android ha cant tempt tho force strong,0.8,17,17,107,5.352941176470588,3,0,0,0,Positive
79,rt says coremotion system iphone 5s empower new generation health fitness apps,0.8,20,20,110,4.55,7,0,0,2,Positive
80,1 actually good thing announcement free apps new iphones pages numbers keynote iphoto imovie via,0.8,21,21,131,5.285714285714286,5,0,1,0,Positive
81,good news replaced phone bad news lost bubblemania spotwent 180 1 lxforever laurenjessa,0.8,21,21,127,5.095238095238095,5,0,2,1,Positive
82,1 actually good thing announcement free apps new iphones pages numbers keynote iphoto imovie,0.8,20,20,124,5.25,5,0,1,0,Positive
83,sephora beauty industryincredible brand online instore experienceadditn free classes retail pictwittercomjagqqkjmr3,0.8,15,15,144,8.666666666666666,2,2,0,1,Positive
84,stick applereason none smart phone manufacturers rolling new software upgrade older generations,0.8,19,19,127,5.7368421052631575,7,0,0,0,Positive
85,u say dat iphone 5s dint bring anythng new well see wen wil sell like hot cakes iphone,0.8,20,20,101,4.1,1,1,0,1,Positive
86,inviting musicians check innovative music app scaleboxapp itunesmusic iphone itunes httpforbitlyscaleboxapp,0.8,17,17,146,7.647058823529412,4,3,0,0,Positive
87,loving vintage pen home office today wait iphone5s pictwittercomu1ifcddhei,0.8,15,15,102,5.866666666666666,4,1,0,1,Positive
88,didnt buy something time applestoreamsterdam yet got great service new appletv spot tks love geniusbar,0.8,21,21,132,5.333333333333333,5,2,0,0,Positive
89,see new improved bphone beyonce,0.8,12,12,60,4.083333333333333,5,0,0,1,Positive
90,got brand new iphone 5 pictwittercomsj86urqvm8,0.8,10,10,66,5.7,0,0,1,2,Positive
91,whelpim due phone upgradethe 5s choicenot sure color thoughgold ehhh,0.8,16,16,111,6.0,5,0,0,1,Positive
92,excited introducing touchid biometric security hoping api soon released devs take advantage,0.8,20,20,129,5.5,7,1,0,1,Positive
93,repaired dead ssd upgraded mountain lion thank saved us time today,0.8,19,19,103,4.473684210526316,5,0,0,1,Positive
94,follow,0.6,3,3,17,5.0,0,0,0,3,Positive
95,currently waiting review app hopefully asap thanks support excited courtsideassistappforios,0.6,21,21,139,5.666666666666667,10,2,0,1,Positive
96,simonmoeller kickbutt next level subway surfers coming preinstalled iphone bad idea actually,0.6,19,19,128,5.7894736842105265,5,0,0,0,Positive
97,iphone 5s builds achievement touch id ngerprint identity sensor httpowlyoo0u0,0.6,15,17,115,6.6,4,6,0,1,Positive
98,filsfan themixxradio the_hott_spot themixxhangout rockstar love,0.6,8,8,80,9.125,0,0,0,0,Positive
99,astrologyzone commitment got pushed back week ill see next week looking forward,0.6,21,21,114,4.476190476190476,5,0,0,0,Positive
100,love burberry marketing partnership burberry shoots runway show teaser w iphone 5s httponmashto1bbfsca via mashable,0.6,19,20,144,6.578947368421052,2,0,0,1,Positive
101,glad offers iphone multiple colors god forbid actually spend resources improving network capability,0.6,21,21,138,5.619047619047619,6,0,0,0,Positive
102,lxforever laurenjessa sleep button slowly died lovely service happy customernot sure bubblemania data ret policy tho,0.6,19,19,139,6.368421052631579,2,0,0,0,Positive
103,rt thedimassa a3 yes samsung volleying w quicker quicker devices helping raise mobiles speedux mobilebiz,0.6,22,22,139,5.363636363636363,5,1,0,2,Positive
104,iphone gold,0.6,5,5,24,4.0,1,0,0,0,Positive
105,excellent musician app scaleboxapp itunesmusic iphone piano abrsm music onlyclassical violin httpforbitlyscaleboxapp,0.6,14,15,144,9.285714285714286,0,7,0,1,Positive
106,guess champagne color well iphone5s iphone5c tools homeimprovement homeowners home undefined,0.6,15,15,116,6.8,3,6,0,0,Positive
107,dont think innovating think behind couldnt wrong pictwittercoms3rzjzyssj,0.6,15,15,111,6.466666666666667,5,1,0,0,Positive
108,update new article talk becoming dominating force new a7 chip ios 7 httpsmgtechmediacompagesapplehtm,0.6,22,22,142,5.5,5,0,1,2,Positive
109,stratix excited hosting apples oct app development briefing learn navneetsainistratixcorpcom,0.6,15,15,118,6.933333333333334,5,0,0,0,Positive
110,want right best mobile concept idea ever check phoneblockscom mobilerevolution loveit samsung,0.6,20,20,135,5.8,4,3,0,1,Positive
111,may recaptured fanboys heart ha little flash greeniphone yesplease,0.6,15,15,101,5.8,4,2,0,0,Positive
112,love working watching people tech problems entertainment,0.6,10,10,74,6.5,2,1,0,0,Positive
113,tech goes glam samsung partner high fashion promote devices httpbitly160el6m smartwatch luxury,0.6,18,19,133,6.388888888888889,5,3,0,0,Positive
114,dear excellent 2000ad submitted update please approve read slaine dredd,0.6,21,21,120,4.761904761904762,9,3,0,1,Positive
115,darn introducing new iphone anodized finish color didnt know 2 secs ago want,0.6,22,22,117,4.363636363636363,8,2,1,0,Positive
116,airwaysmagazine boeingairplanes fascinating,0.6,4,4,53,12.5,0,0,0,0,Positive
117,please released ios7 tonight desperate need,0.6,10,10,58,4.9,3,0,0,0,Positive
118,gents store basically hottest nerds going,0.6,12,12,68,4.75,4,0,0,0,Positive
119,ibrooklynb would 5c green think would better xx,0.6,14,14,69,4.0,2,0,0,2,Positive
120,microsoft jealous basically putting business give microsoft 5 years,0.6,20,20,118,4.95,8,0,1,1,Positive
121,store preorder new iphone comes sell 3x thanks,0.6,20,20,99,4.0,6,1,0,1,Positive
122,give pictwittercomhlvxntisug,0.6,5,5,47,8.6,0,0,0,3,Positive
123,last week samsung next weekend iphone iphone5,0.6,13,13,77,5.0,5,1,0,0,Positive
124,touch screen macbook waiting make happen,0.6,10,10,57,4.8,2,0,0,0,Positive
125,look new features iphone ios 7 iphone5 mashablevideo httpbuffly17swtoc,0.6,14,17,105,6.357142857142857,4,3,1,0,Positive
126,want black gold iphone make happen,0.6,11,11,51,3.727272727272727,2,0,0,1,Positive
127,android v iphone google mobile lead still reigns commerce httpowlyoqcgb tech business,0.6,16,17,120,6.5,3,6,0,0,Positive
128,nowadays embarassing blackberry stick iphones,0.6,11,11,73,5.7272727272727275,5,0,0,0,Positive
129,people think arent innovatinghello read new m7 chipset looked fingerprint engineered,0.6,21,21,138,5.619047619047619,10,2,0,1,Positive
130,love muhammad ali ad thegreatest thinkdifferent pictwittercomuhypsr33vw,0.6,10,10,93,8.4,2,2,0,0,Positive
131,dreams infiltrated iphone 5s gold done,0.6,17,17,89,4.294117647058823,8,0,0,0,Positive
132,launched touchid right time,0.6,8,8,46,4.875,3,0,0,0,Positive
133,follow,0.6,3,3,17,5.0,0,0,0,3,Positive
134,hey please make iphonesetc sound like jarvis somedayvia updates would freaking awesome,0.6,16,16,112,6.0625,2,0,0,1,Positive
135,waiting release new ipad homegirl one cmon ihavethefirstone giddyup,0.6,16,16,102,5.4375,5,3,0,0,Positive
136,want god jesus pictwittercomsjvvjka3sd,0.6,9,9,65,6.333333333333333,0,0,0,8,Positive
137,dear dstv well done bit sad missed 1st ep suits pictwittercomxshi3gqlku,0.6,22,22,119,4.454545454545454,6,0,0,2,Positive
138,launches instore iphone recycling program httpowlyor69m via eldaily,0.4,9,10,83,8.222222222222221,0,1,0,0,Positive
139,blakegrahampga bestbuy im starting ive always gone store toys,0.4,19,19,109,4.7894736842105265,8,0,0,0,Positive
140,true iphone designed california manufactured fast around world infographic httpowlyoonxw,0.4,17,17,127,6.529411764705882,2,1,0,0,Positive
141,liked original 3g iphone,0.4,7,7,37,4.428571428571429,1,0,0,1,Positive
142,check new things look forward announcing iphone 5c 5s confirming ios7 httpowlyor9j3,0.4,20,20,125,5.3,7,2,0,2,Positive
143,improving mobile app security httpfwtoqo0dqxt mobile app,0.4,10,11,78,6.8,0,2,0,0,Positive
144,mrjamesnoble one try read signs connect dots however one company believe thing,0.4,27,27,137,4.111111111111111,12,0,0,1,Positive
145,everyone come support us 7pm,0.4,9,9,48,4.444444444444445,1,0,0,0,Positive
146,mac creative 5c imore pictwittercomqbi2za6xuv,0.4,6,6,59,9.0,0,1,0,1,Positive
147,missed big picture yesterday announcement ipad free iwork 64bit cemented no1 position tablets,0.4,24,24,140,4.875,6,2,0,1,Positive
148,phone could next huge thinglook httpowlyoocpf phoneblocks,0.4,12,14,91,6.5,3,1,0,0,Positive
149,worldwide mobile phone market forecast grow 73 year year 2013 ios number two operating system via idc,0.4,25,25,140,4.64,6,1,1,1,Positive
150,geekchic rt peterloudis genius idea going microsoft motorola google httpbitly16lfd2s smartphone,0.4,18,20,140,6.722222222222222,3,2,0,1,Positive
151,pr1nc355haybug way perfect every way steps game every single update,0.4,16,16,98,5.1875,4,0,0,0,Positive
152,teamiphone time,0.4,8,9,52,5.5,2,1,0,0,Positive
153,cheaper iphone succeed httphtlyoof4v,0.4,6,6,55,8.333333333333334,0,1,0,0,Positive
154,one colourful cases iphone 5,0.4,13,13,62,3.8461538461538463,5,0,1,1,Positive
155,well nokias surprise tomorrow couldnt possibly gold case surely holds patent colour winphan,0.4,21,21,133,5.380952380952381,6,1,0,0,Positive
156,jon4lakers technobuffalo annoying something cool first ones coarse samsung copyp,0.4,25,25,140,4.64,14,0,0,0,Positive
157,one led simply light one led different color solves old problem innovation,0.4,24,24,123,4.166666666666667,10,1,0,2,Positive
158,etcanada justinbieber also nice adpromo iphone httpinstagramcompeoodxzgvpq,0.4,9,11,98,9.777777777777779,1,1,0,0,Positive
159,impressive talk w steve clusoclusos office apples latest announcements httpinstagramcompeka4gsjkil,0.4,12,12,119,9.0,2,0,0,0,Positive
160,match made heaven burberry digitallyperfect fashion meets tech next trick pictwittercomg16dmimdt9,0.4,16,17,133,7.3125,2,3,0,0,Positive
161,setting right price iphone5c eliminate grey market inefficiencies aapl httpwpmepeksv7f,0.4,18,18,128,6.166666666666667,5,1,0,1,Positive
162,want ios 7 already,0.4,7,7,31,3.5714285714285716,0,0,1,1,Positive
163,twerk macbook,0.4,6,6,31,4.333333333333333,3,0,0,0,Positive
164,key innovation iterations breakthroughs httpbuffly1dzbmbp,0.4,10,10,87,7.8,0,1,0,0,Positive
165,jmlcolley thanks taking right spirit,0.4,12,12,66,4.583333333333333,4,0,0,0,Positive
166,wish rt theespinalien give pictwittercomyarbr8m7fb,0.4,9,9,73,7.222222222222222,0,0,0,5,Positive
167,twitter ibm happy programmers day folks,0.4,7,7,50,6.285714285714286,0,0,0,0,Positive
168,ibrooklynb iphone 5s gold still playing qpr,0.4,11,11,63,4.818181818181818,2,0,0,0,Positive
169,bueno asi como cuando saca iphones mas baratos bueno asi iphone5c pictwittercomlot9cy2ulv,0.4,16,16,114,6.1875,0,1,0,0,Positive
170,follow,0.4,3,3,17,5.0,0,0,0,3,Positive
171,highlyhightori summin like chillin tho,0.4,10,10,64,5.5,2,0,0,1,Positive
172,applefreak,0.4,2,2,18,8.5,0,1,0,0,Positive
173,follow,0.4,3,3,17,5.0,0,0,0,3,Positive
174,demand give iphone,0.4,8,8,37,3.75,4,0,0,0,Positive
175,naturally_m33h applewow morning,0.4,5,5,46,8.4,2,0,0,0,Positive
176,announced iphone 5s iphone 5c ios 7 release date thoughts iphone,0.4,14,14,84,5.071428571428571,2,1,1,2,Positive
177,dad wont buy iphone 5s help,0.4,10,10,45,3.6,4,0,0,0,Positive
178,7evenstarz dude 64 bit processor faster native os even without ram stepping stone 64 bit mobile,0.4,27,27,140,4.222222222222222,9,0,2,1,Positive
179,pretty sure could voice world would apples jonyive,0.4,17,17,84,4.0,8,1,0,1,Positive
180,iphone5c boutthatlife,0.4,3,3,30,9.333333333333334,0,2,0,0,Positive
181,iahhc mcmillen1 oithelpdesk cmb1974 favorite new iphone5c color mine pink applepicking sprint,0.4,17,17,125,6.411764705882353,3,3,0,0,Positive
182,a3 yes samsung volleying quicker quicker devices helping raise mobiles speedux mobilebiz,0.4,20,20,129,5.5,7,1,0,1,Positive
183,ringrazio gabriele e lassistenza grandi,0.4,6,6,48,7.166666666666667,0,0,0,1,Positive
184,missphilly2013 waited 5s come cute colors,0.4,13,13,79,5.153846153846154,4,0,0,1,Positive
185,ios7 actually exciting actual new hardware either way getting new iphones,0.4,21,21,118,4.666666666666667,9,1,0,0,Positive
186,7evenstarz paving way 64 bit mobile future model perfect time make transition,0.4,23,23,121,4.304347826086956,8,0,1,1,Positive
187,crazy iphone 5s india use ebaycheck ebayindia rip india rupee welcome ebaycheck,0.4,15,15,105,6.066666666666666,2,3,0,1,Positive
188,top business apps apples iphone ipad favs mobile httpowlyofqgc,0.2,14,14,95,5.857142857142857,3,3,0,0,Positive
189,om malik likes doesnt like new iphones httpbuffly1egmopu,0.2,13,13,89,5.923076923076923,4,0,0,0,Positive
190,ibeacons may ios 7s interesting hidden feature iphone httpfbme1klk3lvn6,0.2,12,12,95,7.0,2,3,0,0,Positive
191,congrats shiny new technologically advanced iphones let opt group texts youre killin,0.2,23,23,130,4.695652173913044,2,0,0,14,Positive
192,keeeruh luckily gems fixing freeee,0.2,11,11,61,4.636363636363637,4,0,0,0,Positive
193,stephenclark wasnt absolutely darling,0.2,6,6,52,7.833333333333333,1,0,0,0,Positive
194,ibrooklynb green,0.2,3,3,26,8.0,0,0,0,0,Positive
195,wow thats raven httptimehopcom14pf3gc,0.2,6,6,54,8.166666666666666,1,0,0,1,Positive
196,ipodplayerpromo ipod ipad itunes promoipodplayerpromo itune,0.2,8,8,80,9.125,0,6,0,6,Positive
197,elliedash haha parentoftheyear,0.2,4,4,39,9.0,0,1,0,0,Positive
198,windowsphone android constantly try compete levels yall,0.2,20,20,120,5.05,9,0,0,0,Positive
199,iphone consumer feeling launch market great phone expensive,0.2,17,17,97,4.764705882352941,6,0,0,1,Positive
200,momentsfade lmao darn funny,0.2,8,9,50,5.25,2,0,0,1,Positive
201,darrensproat nokia dont forget innovation,0.2,7,7,57,7.285714285714286,2,1,0,0,Positive
202,dear vladimir putin says likes new iphone 5c wishes came redblack vladsays,0.2,18,18,101,4.666666666666667,5,1,0,0,Positive
203,want ios7 please,0.2,6,6,29,4.0,1,0,0,1,Positive
204,,0.2,4,4,16,3.25,2,0,0,0,Positive
205,c7five asked siri important question httpjmp19l1clj least honest,0.2,12,13,91,6.583333333333333,2,0,0,0,Positive
206,topics highlights apples iphone 5s putins us pr firm twitters ipo socialwally brings social media posts hd screens,0.2,21,21,137,5.571428571428571,3,0,0,4,Positive
207,iseeblighty enjoy johan_barnard hahaha people much time android vs pictwittercomym1a0z6rzj,0.2,18,19,143,6.944444444444445,4,0,0,0,Positive
208,come back new twits,0.2,7,7,39,4.714285714285714,1,0,0,0,Positive
